ad_id,platform,creative_type,audience,impressions,clicks,conversions,spend_usd,revenue_usd
AD001,Instagram,Lifestyle,Creators,151958,5632,138,6897.02,16772.97
AD002,Instagram,Comparison,Outdoor Users,117498,4674,271,5305.41,10293.87
AD003,Instagram,UGC,Outdoor Users,94925,1355,33,649.39,2610.8
AD004,YouTube,Product Demo,Young Professionals,160608,4250,178,1310.41,31362.63
AD005,TikTok,Lifestyle,Creators,114654,3453,140,5107.12,14375.29
AD006,TikTok,Product Demo,Outdoor Users,117313,5045,440,6359.21,34834.36
AD007,TikTok,Comparison,Young Professionals,150174,4902,288,6330.9,17319.71
AD008,Instagram,Product Demo,Outdoor Users,49457,1116,29,1070.94,1146.67
AD009,YouTube,Comparison,Students,67065,2742,158,3845.22,7557.36
AD010,TikTok,Comparison,Outdoor Users,85591,3332,232,3080.82,27858.31
AD011,TikTok,Comparison,Students,169643,2843,95,1298.07,3540.39
AD012,TikTok,Lifestyle,Students,163767,1017,76,1152.84,10693.66
AD013,Instagram,UGC,Outdoor Users,164633,3289,63,4370.68,7898.83
AD014,YouTube,Lifestyle,Students,157478,2854,102,3316.37,12999.48
AD015,Instagram,Lifestyle,Creators,143252,6288,489,7244.79,33847.51
AD016,Xiaohongshu,Lifestyle,Students,149176,5029,94,4019.03,6039.43
AD017,YouTube,Lifestyle,Students,137059,3833,251,1625.82,30782.77
AD018,Instagram,UGC,Students,92623,2719,178,3672.24,22344.58
AD019,Xiaohongshu,Product Demo,Creators,32693,778,21,599.56,3424.59
AD020,TikTok,Comparison,Students,176779,3517,290,2075.61,37385.37
AD021,TikTok,Lifestyle,Young Professionals,85016,1520,35,1394.77,3685.51
AD022,Xiaohongshu,UGC,Young Professionals,157659,2447,57,1280.9,6607.71
AD023,TikTok,Comparison,Students,69353,3019,91,2631.24,7155.09
AD024,TikTok,Lifestyle,Young Professionals,56736,2501,107,728.57,9098.78
AD025,Xiaohongshu,Lifestyle,Students,80859,1897,102,1879.68,4765.82
AD026,YouTube,Comparison,Outdoor Users,55342,2065,98,3054.71,9097.3
AD027,YouTube,Comparison,Creators,123384,2283,56,687.11,6758.05
AD028,TikTok,Comparison,Outdoor Users,154249,4006,112,4232.2,6751.71
AD029,YouTube,Product Demo,Young Professionals,130689,5053,323,5907.06,21096.87
AD030,TikTok,Product Demo,Students,60306,899,21,1328.46,2308.16
AD031,TikTok,Lifestyle,Creators,133727,5837,319,7899.19,19893.65
AD032,Xiaohongshu,Lifestyle,Students,45151,1761,138,1330.67,22594.28
AD033,TikTok,Lifestyle,Students,62711,2296,145,2240.57,12902.25
AD034,TikTok,Comparison,Students,51357,1407,91,1498.39,6144.23
AD035,Xiaohongshu,UGC,Outdoor Users,121412,1575,61,1858.84,8511.71
AD036,TikTok,Lifestyle,Young Professionals,137450,2795,87,1551.19,15319.53
AD037,Xiaohongshu,UGC,Students,166967,5111,376,4488.97,44612.8
AD038,TikTok,Comparison,Outdoor Users,123179,4209,136,1180.18,17488.71
AD039,Xiaohongshu,UGC,Students,179661,7761,645,5531.25,24020.58
AD040,TikTok,Comparison,Creators,161373,7051,614,9280.96,47704.78
