ad_id,platform,creative_type,audience,impressions,clicks,conversions,spend_usd,revenue_usd,CTR,CVR,CPC,CPA,ROAS,CTR_rank,CVR_rank,ROAS_rank,CPA_rank,performance_score
AD001,Instagram,Lifestyle,Creators,151958,5632,138,6897.02,16772.97,0.03706287263585991,0.024502840909090908,1.2246129261363636,49.97840579710145,2.431915522935993,14.0,34.0,33.0,38.0,30.2
AD002,Instagram,Comparison,Outdoor Users,117498,4674,271,5305.41,10293.87,0.03977940050043405,0.057980316645271715,1.1350898587933247,19.577158671586716,1.940259094019124,9.0,16.0,35.0,21.0,22.95
AD003,Instagram,UGC,Outdoor Users,94925,1355,33,649.39,2610.8,0.014274427179352121,0.024354243542435424,0.47925461254612545,19.67848484848485,4.020388364465114,38.0,35.0,22.0,22.0,28.450000000000003
AD004,YouTube,Product Demo,Young Professionals,160608,4250,178,1310.41,31362.63,0.026461944610480174,0.04188235294117647,0.30833176470588236,7.36185393258427,23.933448310070894,24.0,22.0,1.0,4.0,11.3
AD005,TikTok,Lifestyle,Creators,114654,3453,140,5107.12,14375.29,0.030116698937673346,0.040544454097885894,1.479038517231393,36.47942857142857,2.81475469540563,20.0,23.0,26.0,33.0,25.099999999999998
AD006,TikTok,Product Demo,Outdoor Users,117313,5045,440,6359.21,34834.36,0.04300461159462293,0.08721506442021804,1.2604975222993062,14.45275,5.477781045129819,7.0,1.0,15.0,12.0,9.45
AD007,TikTok,Comparison,Young Professionals,150174,4902,288,6330.9,17319.71,0.032642135123257025,0.0587515299877601,1.2914932680538556,21.982291666666665,2.735742153564264,18.0,15.0,27.0,24.0,21.75
AD008,Instagram,Product Demo,Outdoor Users,49457,1116,29,1070.94,1146.67,0.022565056513739207,0.025985663082437275,0.9596236559139786,36.92896551724138,1.070713578725232,28.0,32.0,40.0,34.0,34.7
AD009,YouTube,Comparison,Students,67065,2742,158,3845.22,7557.36,0.04088570789532543,0.05762217359591539,1.4023413566739606,24.336835443037973,1.9653907968854838,8.0,17.0,34.0,26.0,23.35
AD010,TikTok,Comparison,Outdoor Users,85591,3332,232,3080.82,27858.31,0.03892932668154362,0.06962785114045618,0.9246158463385354,13.279396551724139,9.042498425743796,11.0,9.0,11.0,10.0,10.350000000000001
AD011,TikTok,Comparison,Students,169643,2843,95,1298.07,3540.39,0.016758722729496647,0.03341540626099191,0.45658459373900806,13.663894736842105,2.7274261018280987,35.0,26.0,28.0,11.0,26.35
AD012,TikTok,Lifestyle,Students,163767,1017,76,1152.84,10693.66,0.006210042316217553,0.07472959685349066,1.1335693215339233,15.168947368421051,9.275927275250686,40.0,7.0,10.0,15.0,16.0
AD013,Instagram,UGC,Outdoor Users,164633,3289,63,4370.68,7898.83,0.019977768734093408,0.019154758285193068,1.3288780784432959,69.37587301587303,1.807231369031821,30.0,39.0,36.0,40.0,36.15
AD014,YouTube,Lifestyle,Students,157478,2854,102,3316.37,12999.48,0.018123166410546235,0.035739313244569026,1.1620077084793272,32.51343137254902,3.919791820574906,33.0,25.0,23.0,32.0,26.850000000000005
AD015,Instagram,Lifestyle,Creators,143252,6288,489,7244.79,33847.51,0.04389467511797392,0.07776717557251908,1.1521612595419848,14.815521472392637,4.6719794500599745,2.0,6.0,18.0,13.0,11.049999999999999
AD016,Xiaohongshu,Lifestyle,Students,149176,5029,94,4019.03,6039.43,0.03371185713519601,0.018691588785046728,0.7991708093060251,42.755638297872345,1.5027083649537327,17.0,40.0,39.0,37.0,34.55
AD017,YouTube,Lifestyle,Students,137059,3833,251,1625.82,30782.77,0.027966058412800327,0.06548395512653274,0.42416384033394205,6.4773705179282866,18.933688846243744,22.0,10.0,2.0,1.0,7.8500000000000005
AD018,Instagram,UGC,Students,92623,2719,178,3672.24,22344.58,0.029355559634216124,0.06546524457521148,1.350584773813902,20.630561797752808,6.084727577718232,21.0,11.0,12.0,23.0,15.2
AD019,Xiaohongshu,Product Demo,Creators,32693,778,21,599.56,3424.59,0.02379714311932218,0.02699228791773779,0.7706426735218508,28.55047619047619,5.711838681699914,26.0,31.0,14.0,28.0,22.75
AD020,TikTok,Comparison,Students,176779,3517,290,2075.61,37385.37,0.019894897018310997,0.08245663918112027,0.5901649132783623,7.157275862068966,18.011750762426466,31.0,4.0,3.0,3.0,8.85
AD021,TikTok,Lifestyle,Young Professionals,85016,1520,35,1394.77,3685.51,0.01787898748470876,0.023026315789473683,0.9176118421052631,39.85057142857143,2.6423783132702883,34.0,38.0,30.0,36.0,33.7
AD022,Xiaohongshu,UGC,Young Professionals,157659,2447,57,1280.9,6607.71,0.015520839279711275,0.023293829178586023,0.5234572946465059,22.471929824561403,5.158646264345382,36.0,37.0,16.0,25.0,26.6
AD023,TikTok,Comparison,Students,69353,3019,91,2631.24,7155.09,0.043530921517454184,0.030142431268631996,0.8715601192447829,28.91472527472527,2.7192844438363664,5.0,29.0,29.0,29.0,24.200000000000003
AD024,TikTok,Lifestyle,Young Professionals,56736,2501,107,728.57,9098.78,0.044081359278059784,0.042782886845261894,0.2913114754098361,6.809065420560748,12.488546055972659,1.0,21.0,6.0,2.0,8.15
AD025,Xiaohongshu,Lifestyle,Students,80859,1897,102,1879.68,4765.82,0.023460591894532458,0.05376910911966262,0.9908697944122299,18.42823529411765,2.5354422029281576,27.0,19.0,31.0,20.0,25.55
AD026,YouTube,Comparison,Outdoor Users,55342,2065,98,3054.71,9097.3,0.03731343283582089,0.04745762711864407,1.4792784503631962,31.170510204081634,2.978122309482733,13.0,20.0,25.0,31.0,22.25
AD027,YouTube,Comparison,Creators,123384,2283,56,687.11,6758.05,0.01850320949231667,0.024529128339903637,0.30096802452912835,12.26982142857143,9.83547030315379,32.0,33.0,9.0,9.0,19.6
AD028,TikTok,Comparison,Outdoor Users,154249,4006,112,4232.2,6751.71,0.025970994949724147,0.027958062905641536,1.0564653020469295,37.7875,1.5953192193185577,25.0,30.0,38.0,35.0,32.95
AD029,YouTube,Product Demo,Young Professionals,130689,5053,323,5907.06,21096.87,0.038664309926619685,0.06392242232337225,1.1690203839303386,18.28811145510836,3.5714670242049342,12.0,13.0,24.0,19.0,18.1
AD030,TikTok,Product Demo,Students,60306,899,21,1328.46,2308.16,0.014907306072364275,0.02335928809788654,1.4777085650723025,63.260000000000005,1.7374704545112385,37.0,36.0,37.0,39.0,37.05
AD031,TikTok,Lifestyle,Creators,133727,5837,319,7899.19,19893.65,0.043648627427520244,0.05465136200102792,1.3532962138084632,24.762351097178684,2.518441764282161,4.0,18.0,32.0,27.0,22.150000000000002
AD032,Xiaohongshu,Lifestyle,Students,45151,1761,138,1330.67,22594.28,0.0390024584173108,0.07836456558773425,0.7556331629755821,9.642536231884058,16.97962680454207,10.0,5.0,4.0,7.0,5.8999999999999995
AD033,TikTok,Lifestyle,Students,62711,2296,145,2240.57,12902.25,0.036612396549249734,0.06315331010452961,0.9758580139372823,15.452206896551726,5.75846771134131,15.0,14.0,13.0,16.0,14.1
AD034,TikTok,Comparison,Students,51357,1407,91,1498.39,6144.23,0.02739646007360243,0.06467661691542288,1.064953802416489,16.465824175824178,4.100554595265584,23.0,12.0,21.0,17.0,18.55
AD035,Xiaohongshu,UGC,Outdoor Users,121412,1575,61,1858.84,8511.71,0.012972358580700425,0.03873015873015873,1.180215873015873,30.4727868852459,4.5790439198640005,39.0,24.0,19.0,30.0,25.900000000000002
AD036,TikTok,Lifestyle,Young Professionals,137450,2795,87,1551.19,15319.53,0.020334667151691525,0.031127012522361358,0.5549874776386404,17.82977011494253,9.87598553368704,29.0,28.0,8.0,18.0,18.7
AD037,Xiaohongshu,UGC,Students,166967,5111,376,4488.97,44612.8,0.030610839267639713,0.0735668166699276,0.8782958325180983,11.93875,9.93831547103233,19.0,8.0,7.0,8.0,9.8
AD038,TikTok,Comparison,Outdoor Users,123179,4209,136,1180.18,17488.71,0.034169785434205506,0.032311712995961035,0.2803943929674507,8.677794117647059,14.81868020132522,16.0,27.0,5.0,6.0,12.85
AD039,Xiaohongshu,UGC,Students,179661,7761,645,5531.25,24020.58,0.043198022943209714,0.08310784692694241,0.7126981059141864,8.575581395348838,4.34270372881356,6.0,3.0,20.0,5.0,10.7
AD040,TikTok,Comparison,Creators,161373,7051,614,9280.96,47704.78,0.04369380255680938,0.08707984683023684,1.3162615231882002,15.115570032573288,5.140069561769472,3.0,2.0,17.0,14.0,10.0
