ad_id,platform,creative_type,audience,impressions,clicks,conversions,spend_usd,revenue_usd,CTR,CVR,CPC,CPA,ROAS,CTR_rank,CVR_rank,ROAS_rank,CPA_rank,performance_score
AD032,Xiaohongshu,Lifestyle,Students,45151,1761,138,1330.67,22594.28,0.0390024584173108,0.07836456558773425,0.7556331629755821,9.642536231884058,16.97962680454207,10.0,5.0,4.0,7.0,5.8999999999999995
AD017,YouTube,Lifestyle,Students,137059,3833,251,1625.82,30782.77,0.027966058412800327,0.06548395512653274,0.42416384033394205,6.4773705179282866,18.933688846243744,22.0,10.0,2.0,1.0,7.8500000000000005
AD024,TikTok,Lifestyle,Young Professionals,56736,2501,107,728.57,9098.78,0.044081359278059784,0.042782886845261894,0.2913114754098361,6.809065420560748,12.488546055972659,1.0,21.0,6.0,2.0,8.15
AD020,TikTok,Comparison,Students,176779,3517,290,2075.61,37385.37,0.019894897018310997,0.08245663918112027,0.5901649132783623,7.157275862068966,18.011750762426466,31.0,4.0,3.0,3.0,8.85
AD006,TikTok,Product Demo,Outdoor Users,117313,5045,440,6359.21,34834.36,0.04300461159462293,0.08721506442021804,1.2604975222993062,14.45275,5.477781045129819,7.0,1.0,15.0,12.0,9.45
AD037,Xiaohongshu,UGC,Students,166967,5111,376,4488.97,44612.8,0.030610839267639713,0.0735668166699276,0.8782958325180983,11.93875,9.93831547103233,19.0,8.0,7.0,8.0,9.8
AD040,TikTok,Comparison,Creators,161373,7051,614,9280.96,47704.78,0.04369380255680938,0.08707984683023684,1.3162615231882002,15.115570032573288,5.140069561769472,3.0,2.0,17.0,14.0,10.0
AD010,TikTok,Comparison,Outdoor Users,85591,3332,232,3080.82,27858.31,0.03892932668154362,0.06962785114045618,0.9246158463385354,13.279396551724139,9.042498425743796,11.0,9.0,11.0,10.0,10.350000000000001
AD039,Xiaohongshu,UGC,Students,179661,7761,645,5531.25,24020.58,0.043198022943209714,0.08310784692694241,0.7126981059141864,8.575581395348838,4.34270372881356,6.0,3.0,20.0,5.0,10.7
AD015,Instagram,Lifestyle,Creators,143252,6288,489,7244.79,33847.51,0.04389467511797392,0.07776717557251908,1.1521612595419848,14.815521472392637,4.6719794500599745,2.0,6.0,18.0,13.0,11.049999999999999
